name	shape	unique_labels	fgvox
case_00000_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	874234
case_00001_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	1319385
case_00002_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	637471
case_00003_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	525556
case_00004_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	118025
case_00005_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	954983
case_00006_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	241814
case_00007_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	208273
case_00008_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	542642
case_00009_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	155786
case_00010_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	208038
case_00011_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	169106
case_00012_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	195405
case_00013_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	216226
case_00014_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	441676
case_00015_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	282632
case_00016_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	383459
case_00017_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	180223
case_00018_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	245083
case_00019_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	154008
case_00020_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	118744
case_00021_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	107948
case_00022_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	976512
case_00023_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	288643
case_00024_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	199994
case_00025_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	671312
case_00026_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	489593
case_00027_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	875699
case_00028_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	232894
case_00029_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	162893
case_00030_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	641209
case_00031_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	319013
case_00032_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	186787
case_00033_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	681545
case_00034_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	175875
case_00035_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	107915
case_00036_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2]	342445
case_00037_cropped_image.nii.gz	(256, 256, 336)	[0, 1, 2, 3]	229397
